dataset,expression,chain_of_thought,answer
train,((7 + 27) + (46 + 46)),"[""Compute 7 + 27 = 34."", ""Compute 46 + 46 = 92."", ""Compute 34 + 92 = 126.""]",126
train,(50 + 5),"[""Compute 50 + 5 = 55.""]",55
train,((32 * 5) - (8 - 40)),"[""Compute 32 * 5 = 160."", ""Compute 8 - 40 = -32."", ""Compute 160 - -32 = 192.""]",192
train,(27 - 36),"[""Compute 27 - 36 = -9.""]",-9
train,(19 - 42),"[""Compute 19 - 42 = -23.""]",-23
train,((15 * 11) - (9 + 4)),"[""Compute 15 * 11 = 165."", ""Compute 9 + 4 = 13."", ""Compute 165 - 13 = 152.""]",152
train,(40 + 27),"[""Compute 40 + 27 = 67.""]",67
train,((49 * 31) + (32 - 10)),"[""Compute 49 * 31 = 1519."", ""Compute 32 - 10 = 22."", ""Compute 1519 + 22 = 1541.""]",1541
train,((20 * 22) - (37 * 43)),"[""Compute 20 * 22 = 440."", ""Compute 37 * 43 = 1591."", ""Compute 440 - 1591 = -1151.""]",-1151
train,((38 * 33) + (3 * 27)),"[""Compute 38 * 33 = 1254."", ""Compute 3 * 27 = 81."", ""Compute 1254 + 81 = 1335.""]",1335
train,(42 * 27),"[""Compute 42 * 27 = 1134.""]",1134
train,(47 * 45),"[""Compute 47 * 45 = 2115.""]",2115
train,(9 * 35),"[""Compute 9 * 35 = 315.""]",315
train,((31 - 23) * (32 - 37)),"[""Compute 31 - 23 = 8."", ""Compute 32 - 37 = -5."", ""Compute 8 * -5 = -40.""]",-40
train,(10 * 5),"[""Compute 10 * 5 = 50.""]",50
train,(41 * 15),"[""Compute 41 * 15 = 615.""]",615
train,((43 - 37) - (24 * 31)),"[""Compute 43 - 37 = 6."", ""Compute 24 * 31 = 744."", ""Compute 6 - 744 = -738.""]",-738
train,((23 * 34) * (22 * 46)),"[""Compute 23 * 34 = 782."", ""Compute 22 * 46 = 1012."", ""Compute 782 * 1012 = 791384.""]",791384
train,(10 + 26),"[""Compute 10 + 26 = 36.""]",36
train,((23 - 13) - (5 * 48)),"[""Compute 23 - 13 = 10."", ""Compute 5 * 48 = 240."", ""Compute 10 - 240 = -230.""]",-230
train,(40 * 41),"[""Compute 40 * 41 = 1640.""]",1640
train,((30 - 3) + (34 - 15)),"[""Compute 30 - 3 = 27."", ""Compute 34 - 15 = 19."", ""Compute 27 + 19 = 46.""]",46
train,(7 - 24),"[""Compute 7 - 24 = -17.""]",-17
train,((29 - 23) - (26 + 22)),"[""Compute 29 - 23 = 6."", ""Compute 26 + 22 = 48."", ""Compute 6 - 48 = -42.""]",-42
train,(1 * 28),"[""Compute 1 * 28 = 28.""]",28
train,((26 - 7) - (29 * 22)),"[""Compute 26 - 7 = 19."", ""Compute 29 * 22 = 638."", ""Compute 19 - 638 = -619.""]",-619
train,((49 * 2) * (13 - 4)),"[""Compute 49 * 2 = 98."", ""Compute 13 - 4 = 9."", ""Compute 98 * 9 = 882.""]",882
train,(2 * 17),"[""Compute 2 * 17 = 34.""]",34
train,((25 - 46) + (47 - 2)),"[""Compute 25 - 46 = -21."", ""Compute 47 - 2 = 45."", ""Compute -21 + 45 = 24.""]",24
train,((30 * 12) * (5 - 14)),"[""Compute 30 * 12 = 360."", ""Compute 5 - 14 = -9."", ""Compute 360 * -9 = -3240.""]",-3240
train,((11 - 27) * (38 - 33)),"[""Compute 11 - 27 = -16."", ""Compute 38 - 33 = 5."", ""Compute -16 * 5 = -80.""]",-80
train,((44 - 8) - (21 - 29)),"[""Compute 44 - 8 = 36."", ""Compute 21 - 29 = -8."", ""Compute 36 - -8 = 44.""]",44
train,(4 - 30),"[""Compute 4 - 30 = -26.""]",-26
train,((3 + 34) * (31 * 44)),"[""Compute 3 + 34 = 37."", ""Compute 31 * 44 = 1364."", ""Compute 37 * 1364 = 50468.""]",50468
train,((1 * 50) - (36 - 35)),"[""Compute 1 * 50 = 50."", ""Compute 36 - 35 = 1."", ""Compute 50 - 1 = 49.""]",49
train,(10 * 42),"[""Compute 10 * 42 = 420.""]",420
train,(17 - 45),"[""Compute 17 - 45 = -28.""]",-28
train,((28 * 22) * (42 - 3)),"[""Compute 28 * 22 = 616."", ""Compute 42 - 3 = 39."", ""Compute 616 * 39 = 24024.""]",24024
train,((30 * 16) * (3 - 20)),"[""Compute 30 * 16 = 480."", ""Compute 3 - 20 = -17."", ""Compute 480 * -17 = -8160.""]",-8160
train,(19 - 34),"[""Compute 19 - 34 = -15.""]",-15
train,(38 * 13),"[""Compute 38 * 13 = 494.""]",494
train,((43 * 40) - (22 * 3)),"[""Compute 43 * 40 = 1720."", ""Compute 22 * 3 = 66."", ""Compute 1720 - 66 = 1654.""]",1654
train,(26 + 39),"[""Compute 26 + 39 = 65.""]",65
train,((25 * 22) - (22 + 14)),"[""Compute 25 * 22 = 550."", ""Compute 22 + 14 = 36."", ""Compute 550 - 36 = 514.""]",514
train,((20 + 30) + (37 + 36)),"[""Compute 20 + 30 = 50."", ""Compute 37 + 36 = 73."", ""Compute 50 + 73 = 123.""]",123
train,((46 * 38) - (27 + 34)),"[""Compute 46 * 38 = 1748."", ""Compute 27 + 34 = 61."", ""Compute 1748 - 61 = 1687.""]",1687
train,(6 - 17),"[""Compute 6 - 17 = -11.""]",-11
train,(36 + 44),"[""Compute 36 + 44 = 80.""]",80
train,((20 + 39) - (39 + 30)),"[""Compute 20 + 39 = 59."", ""Compute 39 + 30 = 69."", ""Compute 59 - 69 = -10.""]",-10
train,((3 - 31) - (30 * 16)),"[""Compute 3 - 31 = -28."", ""Compute 30 * 16 = 480."", ""Compute -28 - 480 = -508.""]",-508
train,((33 + 42) + (36 + 41)),"[""Compute 33 + 42 = 75."", ""Compute 36 + 41 = 77."", ""Compute 75 + 77 = 152.""]",152
train,(35 * 7),"[""Compute 35 * 7 = 245.""]",245
train,(2 + 20),"[""Compute 2 + 20 = 22.""]",22
train,(40 - 47),"[""Compute 40 - 47 = -7.""]",-7
train,(14 + 7),"[""Compute 14 + 7 = 21.""]",21
train,((10 * 20) + (1 - 37)),"[""Compute 10 * 20 = 200."", ""Compute 1 - 37 = -36."", ""Compute 200 + -36 = 164.""]",164
train,(12 - 5),"[""Compute 12 - 5 = 7.""]",7
train,(27 - 33),"[""Compute 27 - 33 = -6.""]",-6
train,((38 * 43) + (6 * 30)),"[""Compute 38 * 43 = 1634."", ""Compute 6 * 30 = 180."", ""Compute 1634 + 180 = 1814.""]",1814
train,(20 * 10),"[""Compute 20 * 10 = 200.""]",200
train,(25 - 1),"[""Compute 25 - 1 = 24.""]",24
train,((32 - 25) * (36 - 29)),"[""Compute 32 - 25 = 7."", ""Compute 36 - 29 = 7."", ""Compute 7 * 7 = 49.""]",49
train,(41 - 34),"[""Compute 41 - 34 = 7.""]",7
train,((37 * 42) - (42 + 4)),"[""Compute 37 * 42 = 1554."", ""Compute 42 + 4 = 46."", ""Compute 1554 - 46 = 1508.""]",1508
train,((34 * 37) - (17 - 41)),"[""Compute 34 * 37 = 1258."", ""Compute 17 - 41 = -24."", ""Compute 1258 - -24 = 1282.""]",1282
train,((23 - 1) + (7 + 44)),"[""Compute 23 - 1 = 22."", ""Compute 7 + 44 = 51."", ""Compute 22 + 51 = 73.""]",73
train,((37 - 40) - (37 * 10)),"[""Compute 37 - 40 = -3."", ""Compute 37 * 10 = 370."", ""Compute -3 - 370 = -373.""]",-373
train,(14 - 15),"[""Compute 14 - 15 = -1.""]",-1
train,(28 - 10),"[""Compute 28 - 10 = 18.""]",18
train,(15 - 21),"[""Compute 15 - 21 = -6.""]",-6
train,(27 * 9),"[""Compute 27 * 9 = 243.""]",243
train,((36 * 38) - (40 + 28)),"[""Compute 36 * 38 = 1368."", ""Compute 40 + 28 = 68."", ""Compute 1368 - 68 = 1300.""]",1300
train,(50 * 2),"[""Compute 50 * 2 = 100.""]",100
train,((27 + 34) - (34 - 33)),"[""Compute 27 + 34 = 61."", ""Compute 34 - 33 = 1."", ""Compute 61 - 1 = 60.""]",60
train,(5 + 33),"[""Compute 5 + 33 = 38.""]",38
train,((23 * 33) - (50 * 41)),"[""Compute 23 * 33 = 759."", ""Compute 50 * 41 = 2050."", ""Compute 759 - 2050 = -1291.""]",-1291
train,((32 - 43) - (41 * 30)),"[""Compute 32 - 43 = -11."", ""Compute 41 * 30 = 1230."", ""Compute -11 - 1230 = -1241.""]",-1241
train,((11 * 16) - (36 * 50)),"[""Compute 11 * 16 = 176."", ""Compute 36 * 50 = 1800."", ""Compute 176 - 1800 = -1624.""]",-1624
train,((35 * 15) - (32 - 29)),"[""Compute 35 * 15 = 525."", ""Compute 32 - 29 = 3."", ""Compute 525 - 3 = 522.""]",522
train,(47 * 40),"[""Compute 47 * 40 = 1880.""]",1880
train,((32 + 25) + (43 * 34)),"[""Compute 32 + 25 = 57."", ""Compute 43 * 34 = 1462."", ""Compute 57 + 1462 = 1519.""]",1519
train,((6 + 38) + (50 * 17)),"[""Compute 6 + 38 = 44."", ""Compute 50 * 17 = 850."", ""Compute 44 + 850 = 894.""]",894
train,(37 - 42),"[""Compute 37 - 42 = -5.""]",-5
train,((28 * 4) + (49 - 5)),"[""Compute 28 * 4 = 112."", ""Compute 49 - 5 = 44."", ""Compute 112 + 44 = 156.""]",156
train,((16 - 28) * (19 + 25)),"[""Compute 16 - 28 = -12."", ""Compute 19 + 25 = 44."", ""Compute -12 * 44 = -528.""]",-528
train,((33 - 38) + (12 * 17)),"[""Compute 33 - 38 = -5."", ""Compute 12 * 17 = 204."", ""Compute -5 + 204 = 199.""]",199
train,(46 - 43),"[""Compute 46 - 43 = 3.""]",3
train,(15 * 2),"[""Compute 15 * 2 = 30.""]",30
train,(33 - 7),"[""Compute 33 - 7 = 26.""]",26
train,((33 * 12) * (4 + 10)),"[""Compute 33 * 12 = 396."", ""Compute 4 + 10 = 14."", ""Compute 396 * 14 = 5544.""]",5544
train,((32 + 18) * (46 - 27)),"[""Compute 32 + 18 = 50."", ""Compute 46 - 27 = 19."", ""Compute 50 * 19 = 950.""]",950
train,(36 * 8),"[""Compute 36 * 8 = 288.""]",288
train,((43 + 8) - (17 * 37)),"[""Compute 43 + 8 = 51."", ""Compute 17 * 37 = 629."", ""Compute 51 - 629 = -578.""]",-578
train,(10 - 41),"[""Compute 10 - 41 = -31.""]",-31
train,((42 + 43) * (11 + 38)),"[""Compute 42 + 43 = 85."", ""Compute 11 + 38 = 49."", ""Compute 85 * 49 = 4165.""]",4165
train,(16 * 29),"[""Compute 16 * 29 = 464.""]",464
train,(41 - 6),"[""Compute 41 - 6 = 35.""]",35
train,((49 * 41) * (25 * 39)),"[""Compute 49 * 41 = 2009."", ""Compute 25 * 39 = 975."", ""Compute 2009 * 975 = 1958775.""]",1958775
train,(21 + 5),"[""Compute 21 + 5 = 26.""]",26
train,(21 * 23),"[""Compute 21 * 23 = 483.""]",483
train,(31 - 25),"[""Compute 31 - 25 = 6.""]",6
train,((20 + 7) + (22 + 24)),"[""Compute 20 + 7 = 27."", ""Compute 22 + 24 = 46."", ""Compute 27 + 46 = 73.""]",73
train,((4 + 38) * (8 * 25)),"[""Compute 4 + 38 = 42."", ""Compute 8 * 25 = 200."", ""Compute 42 * 200 = 8400.""]",8400
train,((38 + 24) + (50 - 41)),"[""Compute 38 + 24 = 62."", ""Compute 50 - 41 = 9."", ""Compute 62 + 9 = 71.""]",71
train,(26 * 45),"[""Compute 26 * 45 = 1170.""]",1170
train,(6 * 24),"[""Compute 6 * 24 = 144.""]",144
train,((37 * 11) - (24 - 18)),"[""Compute 37 * 11 = 407."", ""Compute 24 - 18 = 6."", ""Compute 407 - 6 = 401.""]",401
train,(34 * 19),"[""Compute 34 * 19 = 646.""]",646
train,((12 * 8) + (37 + 5)),"[""Compute 12 * 8 = 96."", ""Compute 37 + 5 = 42."", ""Compute 96 + 42 = 138.""]",138
train,((45 * 29) * (23 + 13)),"[""Compute 45 * 29 = 1305."", ""Compute 23 + 13 = 36."", ""Compute 1305 * 36 = 46980.""]",46980
train,((3 + 15) - (21 + 45)),"[""Compute 3 + 15 = 18."", ""Compute 21 + 45 = 66."", ""Compute 18 - 66 = -48.""]",-48
train,((16 + 11) - (40 - 9)),"[""Compute 16 + 11 = 27."", ""Compute 40 - 9 = 31."", ""Compute 27 - 31 = -4.""]",-4
train,((6 * 2) + (14 + 34)),"[""Compute 6 * 2 = 12."", ""Compute 14 + 34 = 48."", ""Compute 12 + 48 = 60.""]",60
train,(7 - 27),"[""Compute 7 - 27 = -20.""]",-20
train,(34 - 21),"[""Compute 34 - 21 = 13.""]",13
train,(38 * 20),"[""Compute 38 * 20 = 760.""]",760
train,(29 - 29),"[""Compute 29 - 29 = 0.""]",0
train,((15 + 33) * (49 + 38)),"[""Compute 15 + 33 = 48."", ""Compute 49 + 38 = 87."", ""Compute 48 * 87 = 4176.""]",4176
train,((33 * 50) + (12 * 11)),"[""Compute 33 * 50 = 1650."", ""Compute 12 * 11 = 132."", ""Compute 1650 + 132 = 1782.""]",1782
train,((40 * 20) * (10 - 45)),"[""Compute 40 * 20 = 800."", ""Compute 10 - 45 = -35."", ""Compute 800 * -35 = -28000.""]",-28000
train,(43 + 39),"[""Compute 43 + 39 = 82.""]",82
train,(28 + 15),"[""Compute 28 + 15 = 43.""]",43
train,(14 * 31),"[""Compute 14 * 31 = 434.""]",434
train,(24 - 31),"[""Compute 24 - 31 = -7.""]",-7
train,((23 * 31) - (36 + 40)),"[""Compute 23 * 31 = 713."", ""Compute 36 + 40 = 76."", ""Compute 713 - 76 = 637.""]",637
train,((26 * 9) + (22 - 15)),"[""Compute 26 * 9 = 234."", ""Compute 22 - 15 = 7."", ""Compute 234 + 7 = 241.""]",241
train,((34 + 6) - (35 + 4)),"[""Compute 34 + 6 = 40."", ""Compute 35 + 4 = 39."", ""Compute 40 - 39 = 1.""]",1
train,((6 * 46) - (25 - 21)),"[""Compute 6 * 46 = 276."", ""Compute 25 - 21 = 4."", ""Compute 276 - 4 = 272.""]",272
train,(1 + 35),"[""Compute 1 + 35 = 36.""]",36
train,(10 + 47),"[""Compute 10 + 47 = 57.""]",57
train,((46 + 21) - (38 + 19)),"[""Compute 46 + 21 = 67."", ""Compute 38 + 19 = 57."", ""Compute 67 - 57 = 10.""]",10
train,((19 - 24) + (15 * 21)),"[""Compute 19 - 24 = -5."", ""Compute 15 * 21 = 315."", ""Compute -5 + 315 = 310.""]",310
train,((38 - 45) * (43 - 3)),"[""Compute 38 - 45 = -7."", ""Compute 43 - 3 = 40."", ""Compute -7 * 40 = -280.""]",-280
train,((32 * 8) * (31 + 35)),"[""Compute 32 * 8 = 256."", ""Compute 31 + 35 = 66."", ""Compute 256 * 66 = 16896.""]",16896
train,((43 - 18) * (45 - 13)),"[""Compute 43 - 18 = 25."", ""Compute 45 - 13 = 32."", ""Compute 25 * 32 = 800.""]",800
train,((16 * 24) + (8 + 7)),"[""Compute 16 * 24 = 384."", ""Compute 8 + 7 = 15."", ""Compute 384 + 15 = 399.""]",399
train,(50 + 6),"[""Compute 50 + 6 = 56.""]",56
train,(23 * 38),"[""Compute 23 * 38 = 874.""]",874
train,(44 * 38),"[""Compute 44 * 38 = 1672.""]",1672
train,(4 - 8),"[""Compute 4 - 8 = -4.""]",-4
train,((19 * 34) + (24 * 48)),"[""Compute 19 * 34 = 646."", ""Compute 24 * 48 = 1152."", ""Compute 646 + 1152 = 1798.""]",1798
train,(13 * 44),"[""Compute 13 * 44 = 572.""]",572
train,((42 * 16) * (25 + 10)),"[""Compute 42 * 16 = 672."", ""Compute 25 + 10 = 35."", ""Compute 672 * 35 = 23520.""]",23520
train,((35 + 16) * (28 * 31)),"[""Compute 35 + 16 = 51."", ""Compute 28 * 31 = 868."", ""Compute 51 * 868 = 44268.""]",44268
train,(15 + 50),"[""Compute 15 + 50 = 65.""]",65
train,(26 - 8),"[""Compute 26 - 8 = 18.""]",18
train,(12 * 25),"[""Compute 12 * 25 = 300.""]",300
train,((42 * 48) + (12 - 17)),"[""Compute 42 * 48 = 2016."", ""Compute 12 - 17 = -5."", ""Compute 2016 + -5 = 2011.""]",2011
train,(46 - 4),"[""Compute 46 - 4 = 42.""]",42
train,((33 + 35) - (49 - 7)),"[""Compute 33 + 35 = 68."", ""Compute 49 - 7 = 42."", ""Compute 68 - 42 = 26.""]",26
train,((45 * 31) + (7 - 37)),"[""Compute 45 * 31 = 1395."", ""Compute 7 - 37 = -30."", ""Compute 1395 + -30 = 1365.""]",1365
train,((37 * 41) * (32 * 23)),"[""Compute 37 * 41 = 1517."", ""Compute 32 * 23 = 736."", ""Compute 1517 * 736 = 1116512.""]",1116512
train,((6 - 5) + (47 + 11)),"[""Compute 6 - 5 = 1."", ""Compute 47 + 11 = 58."", ""Compute 1 + 58 = 59.""]",59
train,(4 + 29),"[""Compute 4 + 29 = 33.""]",33
train,(12 * 13),"[""Compute 12 * 13 = 156.""]",156
train,((39 * 10) - (13 + 19)),"[""Compute 39 * 10 = 390."", ""Compute 13 + 19 = 32."", ""Compute 390 - 32 = 358.""]",358
train,((1 * 47) * (16 * 18)),"[""Compute 1 * 47 = 47."", ""Compute 16 * 18 = 288."", ""Compute 47 * 288 = 13536.""]",13536
train,((43 + 13) - (24 * 6)),"[""Compute 43 + 13 = 56."", ""Compute 24 * 6 = 144."", ""Compute 56 - 144 = -88.""]",-88
train,(17 - 43),"[""Compute 17 - 43 = -26.""]",-26
train,((34 * 13) * (46 * 1)),"[""Compute 34 * 13 = 442."", ""Compute 46 * 1 = 46."", ""Compute 442 * 46 = 20332.""]",20332
train,(30 - 39),"[""Compute 30 - 39 = -9.""]",-9
train,((21 - 20) - (50 - 18)),"[""Compute 21 - 20 = 1."", ""Compute 50 - 18 = 32."", ""Compute 1 - 32 = -31.""]",-31
train,((12 * 38) * (15 + 3)),"[""Compute 12 * 38 = 456."", ""Compute 15 + 3 = 18."", ""Compute 456 * 18 = 8208.""]",8208
train,((20 * 27) * (3 * 1)),"[""Compute 20 * 27 = 540."", ""Compute 3 * 1 = 3."", ""Compute 540 * 3 = 1620.""]",1620
train,((8 + 16) * (23 - 26)),"[""Compute 8 + 16 = 24."", ""Compute 23 - 26 = -3."", ""Compute 24 * -3 = -72.""]",-72
train,((13 * 15) + (31 + 47)),"[""Compute 13 * 15 = 195."", ""Compute 31 + 47 = 78."", ""Compute 195 + 78 = 273.""]",273
train,(26 - 22),"[""Compute 26 - 22 = 4.""]",4
train,((34 * 39) * (46 + 38)),"[""Compute 34 * 39 = 1326."", ""Compute 46 + 38 = 84."", ""Compute 1326 * 84 = 111384.""]",111384
train,(39 * 48),"[""Compute 39 * 48 = 1872.""]",1872
train,(18 + 19),"[""Compute 18 + 19 = 37.""]",37
train,(8 - 47),"[""Compute 8 - 47 = -39.""]",-39
train,(20 + 32),"[""Compute 20 + 32 = 52.""]",52
train,((33 - 48) + (50 - 47)),"[""Compute 33 - 48 = -15."", ""Compute 50 - 47 = 3."", ""Compute -15 + 3 = -12.""]",-12
train,(21 - 22),"[""Compute 21 - 22 = -1.""]",-1
train,(9 + 35),"[""Compute 9 + 35 = 44.""]",44
train,(29 + 7),"[""Compute 29 + 7 = 36.""]",36
train,((33 * 34) + (10 - 41)),"[""Compute 33 * 34 = 1122."", ""Compute 10 - 41 = -31."", ""Compute 1122 + -31 = 1091.""]",1091
train,(14 - 8),"[""Compute 14 - 8 = 6.""]",6
train,((13 + 30) * (35 + 38)),"[""Compute 13 + 30 = 43."", ""Compute 35 + 38 = 73."", ""Compute 43 * 73 = 3139.""]",3139
train,((38 - 35) - (32 + 50)),"[""Compute 38 - 35 = 3."", ""Compute 32 + 50 = 82."", ""Compute 3 - 82 = -79.""]",-79
train,((3 - 16) - (28 + 21)),"[""Compute 3 - 16 = -13."", ""Compute 28 + 21 = 49."", ""Compute -13 - 49 = -62.""]",-62
train,((44 + 13) * (15 * 3)),"[""Compute 44 + 13 = 57."", ""Compute 15 * 3 = 45."", ""Compute 57 * 45 = 2565.""]",2565
train,(40 + 25),"[""Compute 40 + 25 = 65.""]",65
train,(22 * 26),"[""Compute 22 * 26 = 572.""]",572
train,(28 + 8),"[""Compute 28 + 8 = 36.""]",36
train,((32 + 2) * (41 * 43)),"[""Compute 32 + 2 = 34."", ""Compute 41 * 43 = 1763."", ""Compute 34 * 1763 = 59942.""]",59942
train,(41 - 41),"[""Compute 41 - 41 = 0.""]",0
train,((7 - 32) + (39 - 7)),"[""Compute 7 - 32 = -25."", ""Compute 39 - 7 = 32."", ""Compute -25 + 32 = 7.""]",7
train,((11 * 33) + (8 - 35)),"[""Compute 11 * 33 = 363."", ""Compute 8 - 35 = -27."", ""Compute 363 + -27 = 336.""]",336
train,(44 + 32),"[""Compute 44 + 32 = 76.""]",76
train,((29 + 33) * (13 * 1)),"[""Compute 29 + 33 = 62."", ""Compute 13 * 1 = 13."", ""Compute 62 * 13 = 806.""]",806
train,(13 - 35),"[""Compute 13 - 35 = -22.""]",-22
train,(44 * 10),"[""Compute 44 * 10 = 440.""]",440
train,((43 * 21) - (29 * 12)),"[""Compute 43 * 21 = 903."", ""Compute 29 * 12 = 348."", ""Compute 903 - 348 = 555.""]",555
train,((1 + 14) * (23 + 7)),"[""Compute 1 + 14 = 15."", ""Compute 23 + 7 = 30."", ""Compute 15 * 30 = 450.""]",450
train,(28 - 6),"[""Compute 28 - 6 = 22.""]",22
train,((16 * 31) * (42 * 35)),"[""Compute 16 * 31 = 496."", ""Compute 42 * 35 = 1470."", ""Compute 496 * 1470 = 729120.""]",729120
train,(17 * 39),"[""Compute 17 * 39 = 663.""]",663
train,(18 + 16),"[""Compute 18 + 16 = 34.""]",34
train,((8 + 20) * (25 * 27)),"[""Compute 8 + 20 = 28."", ""Compute 25 * 27 = 675."", ""Compute 28 * 675 = 18900.""]",18900
train,((1 * 26) - (37 - 33)),"[""Compute 1 * 26 = 26."", ""Compute 37 - 33 = 4."", ""Compute 26 - 4 = 22.""]",22
train,((19 * 29) * (48 + 22)),"[""Compute 19 * 29 = 551."", ""Compute 48 + 22 = 70."", ""Compute 551 * 70 = 38570.""]",38570
train,((48 * 17) - (42 + 33)),"[""Compute 48 * 17 = 816."", ""Compute 42 + 33 = 75."", ""Compute 816 - 75 = 741.""]",741
train,(37 + 40),"[""Compute 37 + 40 = 77.""]",77
train,(8 * 49),"[""Compute 8 * 49 = 392.""]",392
train,(25 + 29),"[""Compute 25 + 29 = 54.""]",54
train,((1 + 36) + (12 * 22)),"[""Compute 1 + 36 = 37."", ""Compute 12 * 22 = 264."", ""Compute 37 + 264 = 301.""]",301
train,(41 - 45),"[""Compute 41 - 45 = -4.""]",-4
train,((45 - 29) + (32 + 4)),"[""Compute 45 - 29 = 16."", ""Compute 32 + 4 = 36."", ""Compute 16 + 36 = 52.""]",52
train,((45 + 18) * (39 - 49)),"[""Compute 45 + 18 = 63."", ""Compute 39 - 49 = -10."", ""Compute 63 * -10 = -630.""]",-630
train,(41 * 22),"[""Compute 41 * 22 = 902.""]",902
train,(35 - 27),"[""Compute 35 - 27 = 8.""]",8
train,((8 + 43) * (10 + 16)),"[""Compute 8 + 43 = 51."", ""Compute 10 + 16 = 26."", ""Compute 51 * 26 = 1326.""]",1326
train,(40 - 27),"[""Compute 40 - 27 = 13.""]",13
train,((41 - 4) * (40 + 29)),"[""Compute 41 - 4 = 37."", ""Compute 40 + 29 = 69."", ""Compute 37 * 69 = 2553.""]",2553
train,((22 * 18) * (18 - 11)),"[""Compute 22 * 18 = 396."", ""Compute 18 - 11 = 7."", ""Compute 396 * 7 = 2772.""]",2772
train,((35 * 18) * (39 - 32)),"[""Compute 35 * 18 = 630."", ""Compute 39 - 32 = 7."", ""Compute 630 * 7 = 4410.""]",4410
train,((9 - 31) + (35 + 35)),"[""Compute 9 - 31 = -22."", ""Compute 35 + 35 = 70."", ""Compute -22 + 70 = 48.""]",48
train,(9 - 1),"[""Compute 9 - 1 = 8.""]",8
train,((47 - 17) * (41 * 3)),"[""Compute 47 - 17 = 30."", ""Compute 41 * 3 = 123."", ""Compute 30 * 123 = 3690.""]",3690
train,(27 + 45),"[""Compute 27 + 45 = 72.""]",72
train,((1 + 44) * (50 * 24)),"[""Compute 1 + 44 = 45."", ""Compute 50 * 24 = 1200."", ""Compute 45 * 1200 = 54000.""]",54000
train,((45 * 25) + (21 - 23)),"[""Compute 45 * 25 = 1125."", ""Compute 21 - 23 = -2."", ""Compute 1125 + -2 = 1123.""]",1123
train,((50 - 42) * (21 + 48)),"[""Compute 50 - 42 = 8."", ""Compute 21 + 48 = 69."", ""Compute 8 * 69 = 552.""]",552
train,((12 + 49) + (27 * 23)),"[""Compute 12 + 49 = 61."", ""Compute 27 * 23 = 621."", ""Compute 61 + 621 = 682.""]",682
train,(34 + 10),"[""Compute 34 + 10 = 44.""]",44
train,((16 - 15) + (18 * 40)),"[""Compute 16 - 15 = 1."", ""Compute 18 * 40 = 720."", ""Compute 1 + 720 = 721.""]",721
train,(40 + 13),"[""Compute 40 + 13 = 53.""]",53
train,((39 * 6) - (13 + 6)),"[""Compute 39 * 6 = 234."", ""Compute 13 + 6 = 19."", ""Compute 234 - 19 = 215.""]",215
train,((11 + 11) - (6 - 7)),"[""Compute 11 + 11 = 22."", ""Compute 6 - 7 = -1."", ""Compute 22 - -1 = 23.""]",23
train,(26 - 41),"[""Compute 26 - 41 = -15.""]",-15
train,((6 + 37) - (29 * 47)),"[""Compute 6 + 37 = 43."", ""Compute 29 * 47 = 1363."", ""Compute 43 - 1363 = -1320.""]",-1320
train,(35 + 8),"[""Compute 35 + 8 = 43.""]",43
train,((17 - 22) - (40 + 42)),"[""Compute 17 - 22 = -5."", ""Compute 40 + 42 = 82."", ""Compute -5 - 82 = -87.""]",-87
train,(39 - 41),"[""Compute 39 - 41 = -2.""]",-2
train,((31 + 9) * (11 + 4)),"[""Compute 31 + 9 = 40."", ""Compute 11 + 4 = 15."", ""Compute 40 * 15 = 600.""]",600
train,(43 + 26),"[""Compute 43 + 26 = 69.""]",69
train,((48 + 2) - (42 + 42)),"[""Compute 48 + 2 = 50."", ""Compute 42 + 42 = 84."", ""Compute 50 - 84 = -34.""]",-34
train,((12 - 24) + (31 - 19)),"[""Compute 12 - 24 = -12."", ""Compute 31 - 19 = 12."", ""Compute -12 + 12 = 0.""]",0
train,(18 + 15),"[""Compute 18 + 15 = 33.""]",33
train,(42 + 17),"[""Compute 42 + 17 = 59.""]",59
train,((16 - 14) - (10 + 14)),"[""Compute 16 - 14 = 2."", ""Compute 10 + 14 = 24."", ""Compute 2 - 24 = -22.""]",-22
train,(12 * 3),"[""Compute 12 * 3 = 36.""]",36
train,((3 + 31) - (22 + 38)),"[""Compute 3 + 31 = 34."", ""Compute 22 + 38 = 60."", ""Compute 34 - 60 = -26.""]",-26
train,((3 - 10) - (35 + 31)),"[""Compute 3 - 10 = -7."", ""Compute 35 + 31 = 66."", ""Compute -7 - 66 = -73.""]",-73
train,(16 * 24),"[""Compute 16 * 24 = 384.""]",384
train,((41 + 24) + (19 - 3)),"[""Compute 41 + 24 = 65."", ""Compute 19 - 3 = 16."", ""Compute 65 + 16 = 81.""]",81
train,((34 * 22) + (44 - 9)),"[""Compute 34 * 22 = 748."", ""Compute 44 - 9 = 35."", ""Compute 748 + 35 = 783.""]",783
train,((22 + 2) - (27 - 5)),"[""Compute 22 + 2 = 24."", ""Compute 27 - 5 = 22."", ""Compute 24 - 22 = 2.""]",2
train,(6 * 2),"[""Compute 6 * 2 = 12.""]",12
train,(47 * 8),"[""Compute 47 * 8 = 376.""]",376
train,(41 * 17),"[""Compute 41 * 17 = 697.""]",697
train,(4 + 2),"[""Compute 4 + 2 = 6.""]",6
